Species name,AphiaID,Unit,Observatory,Species importance to society,IUCN RedList Category,IUCN Criteria,IUCN Year Accessed,HELCOM RedList Category,AMBI ecological group,Environmental position
Schizoporella pungens,422363,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Parablennius tentacularis,126777,Fornace,GulfOfPiran, FAO-ASFIS; IUCN Red List, Least Concern,None,2007,None,None,None
Ostrea edulis,140658,Fornace,GulfOfPiran, MSFD indicators; FAO-ASFIS; OSPAR List of Threatened and/or Declining Species and Habitats,None,None,None,None, very sensitive to disturbance,None
Cylindrotheca closterium,149004,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Sabellaria spinulosa,130867,Fornace,GulfOfPiran, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Haslea pseudostrearia,495535,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Modiolus barbatus,140464,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Myrianida hesperidium,238195,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Pleurosigma strigosum,156586,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Dorvillea rubrovittata,130008,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Penilia avirostris,106272,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Ophiothrix fragilis,125131,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Pandeopsis ikarii,288354,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Pisidia longicornis,107188,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Bougainvillia muscus,117328,Fornace,GulfOfPiran,None,None,None,None,None, very sensitive to disturbance,None
Clytia gracilis,117367,Fornace,GulfOfPiran,None,None,None,None,None, very sensitive to disturbance,None
Limaria hians,140235,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Lebbeus polaris,107521,Fornace,GulfOfPiran,None,None,None,None,None, very sensitive to disturbance,None
Nannochloropsis limnetica,613134,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Perforatus perforatus,535477,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Obelia dichotoma,117386,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Calanus finmarchicus,104464,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None,None,None
Athanas nitescens,107486,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Bittium reticulatum,139054,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Amphiura filiformis,125080,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Oscarella tuberculata,169724,G1,Getxo,None,None,None,None,None,None,None
Sabellaria spinulosa,130867,G1,Getxo, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Eualus cranchii,156083,G1,Getxo,None,None,None,None,None, very sensitive to disturbance,None
Tubificoides imajimai,476130,G1,Getxo,None,None,None,None,None,None,None
Magallana gigas,836033,G1,Getxo, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Balanus trigonus,106223,G1,Getxo,None,None,None,None,None, indifferent to disturbance,None
Ostrea stentina,489077,G1,Getxo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Apionsoma (Apionsoma) misakianum,266492,G1,Getxo,None,None,None,None,None, indifferent to disturbance,None
Pholoe inornata,130601,G1,Getxo,None,None,None,None,None, indifferent to disturbance,None
Syllidia armata,130198,G1,Getxo,None,None,None,None,None, indifferent to disturbance,None
Ciona roulii,236663,G1,Getxo,None,None,None,None,None,None,None
Athanas nitescens,107486,G1,Getxo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Phallusia ingeria,103723,G1,Getxo,None,None,None,None,None,None,None
Peringia ulvae,151628,G1,Getxo,None,None,None,None,None, tolerant to disturbance,None
Ostrea edulis,140658,G1,Getxo, MSFD indicators; FAO-ASFIS; OSPAR List of Threatened and/or Declining Species and Habitats,None,None,None,None, very sensitive to disturbance,None
Bougainvillia muscus,117328,G1,Getxo,None,None,None,None,None, very sensitive to disturbance,None
Bugula neritina,111158,G1,Getxo,None,None,None,None,None,None,None
Harmothoe impar,130770,G1,Getxo,None,None,None,None,None, indifferent to disturbance,None
Pycnococcus provasolii,376073,G1,Getxo,None,None,None,None,None,None,None
Campanularia hincksii,117364,G1,Getxo,None,None,None,None,None, indifferent to disturbance,None
Scinaia interrupta,146401,G1,Getxo,None,None,None,None,None,None,None
Cirriformia tentaculata,129964,G1,Getxo,None,None,None,None,None, second-order opportunistic,None
Ostrea stentina,489077,G2,Getxo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Tubificoides imajimai,476130,G2,Getxo,None,None,None,None,None,None,None
Eualus cranchii,156083,G2,Getxo,None,None,None,None,None, very sensitive to disturbance,None
Bougainvillia muscus,117328,G2,Getxo,None,None,None,None,None, very sensitive to disturbance,None
Sabellaria spinulosa,130867,G2,Getxo, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Balanus trigonus,106223,G2,Getxo,None,None,None,None,None, indifferent to disturbance,None
Harmothoe impar,130770,G2,Getxo,None,None,None,None,None, indifferent to disturbance,None
Pholoe inornata,130601,G2,Getxo,None,None,None,None,None, indifferent to disturbance,None
Cryptosula pallasiana,111343,G2,Getxo,None,None,None,None,None, indifferent to disturbance,None
Calanus finmarchicus,104464,G2,Getxo, FAO-ASFIS,None,None,None,None,None,None
Ostrea edulis,140658,G2,Getxo, MSFD indicators; FAO-ASFIS; OSPAR List of Threatened and/or Declining Species and Habitats,None,None,None,None, very sensitive to disturbance,None
Syllidia armata,130198,G2,Getxo,None,None,None,None,None, indifferent to disturbance,None
Phallusia ingeria,103723,G2,Getxo,None,None,None,None,None,None,None
Cirriformia tentaculata,129964,G2,Getxo,None,None,None,None,None, second-order opportunistic,None
Pycnococcus provasolii,376073,G2,Getxo,None,None,None,None,None,None,None
Ostrea edulis,140658,G3,Getxo, MSFD indicators; FAO-ASFIS; OSPAR List of Threatened and/or Declining Species and Habitats,None,None,None,None, very sensitive to disturbance,None
Campanularia hincksii,117364,G3,Getxo,None,None,None,None,None, indifferent to disturbance,None
Amphinema dinema,117778,G3,Getxo,None,None,None,None,None,None,None
Bougainvillia muscus,117328,G3,Getxo,None,None,None,None,None, very sensitive to disturbance,None
Ectocarpus fasciculatus,130770,G3,Getxo,None,None,None,None,None, indifferent to disturbance,None
Ectocarpus fasciculatus,225814,G3,Getxo,None,None,None,None,None, tolerant to disturbance,None
Ectocarpus fasciculatus,107418,G3,Getxo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Balanus trigonus,106223,G3,Getxo,None,None,None,None,None, indifferent to disturbance,None
Phallusia ingeria,103723,G3,Getxo,None,None,None,None,None,None,None
Ostrea stentina,489077,G3,Getxo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Polydora haswelli,330923,G3,Getxo,None,None,None,None,None,None,None
Syllidia armata,130198,G3,Getxo,None,None,None,None,None, indifferent to disturbance,None
Pycnococcus provasolii,376073,G3,Getxo,None,None,None,None,None,None,None
Tricellaria occidentalis,395061,G3,Getxo,None,None,None,None,None,None,None
Sabellaria spinulosa,130867,G3,Getxo, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Hemigrapsus takanoi,389288,G3,Getxo,None,None,None,None,None,None,None
Jassa falcata,102431,G3,Getxo,None,None,None,None,None, first-order opportunistic,None
Ectocarpus fasciculatus,145404,GDY1,Gdynia, FAO-ASFIS,None,None,None,None,None,None
Kurtiella bidentata,345281,GDY1,Gdynia,None,None,None,None,None, tolerant to disturbance,None
Kryptoperidinium triquetrum,1346683,GDY1,Gdynia,None,None,None,None,None,None,None
Paranais litoralis,137485,GDY1,Gdynia,None,None,None,None,None, first-order opportunistic,None
Testudinella clypeata,134974,GDY1,Gdynia,None,None,None,None,None,None,None
Heterocapsa rotundata,110152,GDY1,Gdynia,None,None,None,None,None,None,None
Mychonastes homosphaera,662423,GDY1,Gdynia,None,None,None,None,None,None,None
Neogobius melanostomus,126916,GDY1,Gdynia, FAO-ASFIS; IUCN Red List; MSFD indicators, Least Concern,None,2008,None,None,None
Fusarium oxysporum,100523,GDY1,Gdynia,None,None,None,None,None,None,None
Pycnococcus provasolii,376073,GDY1,Gdynia,None,None,None,None,None,None,None
Baltidrilus costatus,743898,GDY1,Gdynia,None,None,None,None,None, first-order opportunistic,None
Dinophilus vorticoides,130002,GDY1,Gdynia,None,None,None,None,None,None,None
Melita nitida,146922,GDY1,Gdynia,None,None,None,None,None, very sensitive to disturbance,None
Amphibalanus improvisus,421139,GDY1,Gdynia, MSFD indicators,None,None,None,None,None,None
Pylaiella washingtoniensis,373984,GDY1,Gdynia,None,None,None,None,None,None,None
Nitocra spinipes spinipes,1672643,GDY1,Gdynia,None,None,None,None,None,None,None
Cerastoderma glaucum,138999,GDY1,Gdynia, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Paranais frici,137484,GDY1,Gdynia,None,None,None,None,None, first-order opportunistic,None
Micromonas pusilla,134564,GDY1,Gdynia,None,None,None,None,None,None,None
Mytilus galloprovincialis,140481,GDY1,Gdynia, FAO-ASFIS; MSFD indicators,None,None,None,None, tolerant to disturbance,None
Tachidius discipes,157725,GDY1,Gdynia,None,None,None,None,None,None,None
Navicula ramosissima,149643,GDY1,Gdynia,None,None,None,None,None,None,None
Aurelia aurita,135306,GDY1,Gdynia, FAO-ASFIS,None,None,None,None,None,None
Cylindrotheca closterium,149004,GDY1,Gdynia,None,None,None,None,None,None,None
Acartia (Acanthacartia) bifilosa,345919,GDY1,Gdynia,None,None,None,None,None,None,None
Rhodothamniella floridula,145777,GDY1,Gdynia,None,None,None,None,None,None, epilithic
Balanus balanus,106213,GDY1,Gdynia, FAO-ASFIS,None,None,None,None,None,None
Palaemon elegans,107614,GDY1,Gdynia, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Nais elinguis,137481,GDY1,Gdynia,None,None,None,None,None, second-order opportunistic,None
Peringia ulvae,151628,GDY1,Gdynia,None,None,None,None,None, tolerant to disturbance,None
Mytilus edulis,140480,GDY1,Gdynia, FAO-ASFIS; MSFD indicators,None,None,None,None, tolerant to disturbance,None
Obelia longissima,117389,GDY1,Gdynia,None,None,None,None,None, indifferent to disturbance,None
Berkeleya fennica,621564,GDY1,Gdynia,None,None,None,None,None,None,None
Moerisia inkermanica,117761,GDY1,Gdynia,None,None,None,None,None,None,None
Halocladius variabilis,118152,GDY1,Gdynia,None,None,None,None,None,None,None
Leptosiphonia fibrillosa,1339221,GDY1,Gdynia, FAO-ASFIS,None,None,None,None,None, epilithic; epizoic; unattached; epiphytic
Acartia (Acanthacartia) tonsa,345943,GDY1,Gdynia, FAO-ASFIS,None,None,None,None,None,None
Eudesme borealis,1535277,GDY1,Gdynia,None,None,None,None,None,None,None
Acrochaetium luxurians,547853,GDY1,Gdynia,None,None,None,None,None,None,None
Hediste diversicolor,152302,GDY1,Gdynia, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Nannochloropsis limnetica,613134,GDY1,Gdynia,None,None,None,None,None,None,None
Alitta virens,234851,GDY1,Gdynia,None,None,None,None,None, tolerant to disturbance,None
Mya arenaria,140430,GDY1,Gdynia, FAO-ASFIS; MSFD indicators,None,None,None,None, indifferent to disturbance,None
Paranais botniensis,137483,GDY1,Gdynia,None,None,None,None,None,None,None
Tetracladium marchalianum,100553,GDY1,Gdynia,None,None,None,None,None,None,None
Myrionema balticum,144976,GDY1,Gdynia,None,None,None,None,None,None,None
Polysiphonia subtilissima,144674,GDY1,Gdynia,None,None,None,None,None,None,None
Gobius niger,126892,GDY1,Gdynia, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Paranais litoralis,137485,Green33,Limfjord,None,None,None,None,None, first-order opportunistic,None
Lepidochitona cinerea,152774,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Polydora cornuta,131143,Green33,Limfjord,None,None,None,None,None, second-order opportunistic,None
Corophium volutator,102101,Green33,Limfjord, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Jorunna tomentosa,140166,Green33,Limfjord,None,None,None,None,None,None,None
Pholoe inornata,130601,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Scomber scombrus,127023,Green33,Limfjord, FAO-ASFIS; IUCN Red List, Least Concern,None,2022,None,None,None
Aurelia aurita,135306,Green33,Limfjord, FAO-ASFIS,None,None,None,None,None,None
Monocorophium acherusicum,225814,Green33,Limfjord,None,None,None,None,None, tolerant to disturbance,None
Obelia dichotoma,117386,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Psammechinus miliaris,124319,Green33,Limfjord, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Scoloplos armiger,130537,Green33,Limfjord,None,None,None,None,None, tolerant to disturbance,None
Dodecaceria concharum,129967,Green33,Limfjord,None,None,None,None,None, second-order opportunistic,None
Herdmania momus,103830,Green33,Limfjord,None,None,None,None,None,None,None
Arenicola marina,129868,Green33,Limfjord, FAO-ASFIS; MSFD indicators,None,None,None,None, tolerant to disturbance,None
Streblospio benedicti,131191,Green33,Limfjord,None,None,None,None,None, tolerant to disturbance,None
Pagrus pagrus,127063,Green33,Limfjord, FAO-ASFIS; IUCN Red List, Least Concern,None,2009,None,None,None
Amphiascopsis cinctus,115906,Green33,Limfjord,None,None,None,None,None,None,None
Psamathe fusca,152249,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Liocarcinus navigator,107392,Green33,Limfjord, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Syllidia armata,130198,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Ascidiella aspersa,103718,Green33,Limfjord, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Platynereis massiliensis,130418,Green33,Limfjord,None,None,None,None,None,None,None
Parablennius gattorugine,126770,Green33,Limfjord, FAO-ASFIS; IUCN Red List, Least Concern,None,2007,None,None,None
Nicolea zostericola,131508,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Monocorophium insidiosum,148592,Green33,Limfjord,None,None,None,None,None, tolerant to disturbance,None
Spirobranchus triqueter,555935,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Halisarca dujardinii,132736,Green33,Limfjord,None,None,None,None,None,None,None
Ditylum brightwellii,149023,Green33,Limfjord,None,None,None,None,None,None,None
Haliclystus tenuis,287231,Green33,Limfjord,None,None,None,None,None,None,None
Emiliania huxleyi,115104,Green33,Limfjord,None,None,None,None,None,None,None
Lepidonotus squamatus,130801,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Plagiogramma acutum,1465547,Green33,Limfjord,None,None,None,None,None,None,None
Fibrocapsa japonica,233761,Green33,Limfjord,None,None,None,None,None,None,None
Dasysiphonia japonica,836896,Green33,Limfjord,None,None,None,None,None,None,None
Gitana sarsi,101977,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Diacarnus spinipoculum,168716,Green33,Limfjord,None,None,None,None,None,None,None
Praunus inermis,120178,Green33,Limfjord,None,None,None,None,None, very sensitive to disturbance,None
Obelia geniculata,117388,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Eualus cranchii,156083,Green33,Limfjord,None,None,None,None,None, very sensitive to disturbance,None
Callyspongia (Callyspongia) siphonella,166199,Green33,Limfjord,None,None,None,None,None,None,None
Acartia (Acartiura) hudsonica,149751,Green33,Limfjord,None,None,None,None,None,None,None
Coelorinchus caelorhincus,398381,Green33,Limfjord, FAO-ASFIS; IUCN Red List, Least Concern,None,2013,None,None,None
Clytia hemisphaerica,117368,Green33,Limfjord,None,None,None,None,None, very sensitive to disturbance,None
Asterias rubens,123776,Green33,Limfjord, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Platynereis dumerilii,130417,Green33,Limfjord,None,None,None,None,None, tolerant to disturbance,None
Trigla lyra,127266,Green33,Limfjord, FAO-ASFIS; IUCN Red List; MSFD indicators, Least Concern,None,2013,None,None,None
Caprella mutica,146768,Green33,Limfjord,None,None,None,None,None,None,None
Hildenbrandia rubra,145712,Green33,Limfjord, FAO-ASFIS,None,None,None,None,None, epilithic; epizoic
Steromphala cineraria,1039839,Green33,Limfjord, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Jassa marmorata,102433,Green33,Limfjord,None,None,None,None,None, first-order opportunistic,None
Mya arenaria,140430,Green33,Limfjord, FAO-ASFIS; MSFD indicators,None,None,None,None, indifferent to disturbance,None
Halichondria (Halichondria) panicea,165853,Green33,Limfjord,None,None,None,None,None, very sensitive to disturbance,None
Skeletonema japonicum,376666,Green33,Limfjord,None,None,None,None,None,None,None
Harmothoe imbricata,130769,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Dimorphilus gyrociliatus,1466579,Green33,Limfjord,None,None,None,None,None,None,None
Phymatolithon lenormandii,145202,Green33,Limfjord, FAO-ASFIS,None,None,None,None,None,None
Obelia longissima,117389,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Ahnfeltia plicata,144422,Green33,Limfjord, FAO-ASFIS,None,None,None,None,None, epilithic
Fredericqia deveauniensis,743671,Green33,Limfjord,None,None,None,None,None,None,None
Skeletonema dohrnii,489112,Green33,Limfjord,None,None,None,None,None,None,None
Balanus balanus,106213,Green33,Limfjord, FAO-ASFIS,None,None,None,None,None,None
Conopeum reticulum,111351,Green33,Limfjord,None,None,None,None,None, indifferent to disturbance,None
Amphibalanus improvisus,421139,Green33,Limfjord, MSFD indicators,None,None,None,None,None,None
Berkeleya fennica,621564,Green33,Limfjord,None,None,None,None,None,None,None
Gobius niger,126892,Green33,Limfjord, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Ectocarpus fasciculatus,145404,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None,None
Micromonas pusilla,134564,GStraB,Bodo,None,None,None,None,None,None,None
Harmothoe imbricata,130769,GStraB,Bodo,None,None,None,None,None, indifferent to disturbance,None
Asterias rubens,123776,GStraB,Bodo, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Leptasterias (Leptasterias) muelleri,125158,GStraB,Bodo,None,None,None,None,None,None,None
Mytilus galloprovincialis,140481,GStraB,Bodo, FAO-ASFIS; MSFD indicators,None,None,None,None, tolerant to disturbance,None
Eudesme borealis,1535277,GStraB,Bodo,None,None,None,None,None,None,None
Planosiphon filiformis,1310311,GStraB,Bodo,None,None,None,None,None,None,None
Amphibalanus improvisus,421139,GStraB,Bodo, MSFD indicators,None,None,None,None,None,None
Arenicola marina,129868,GStraB,Bodo, FAO-ASFIS; MSFD indicators,None,None,None,None, tolerant to disturbance,None
Myriotrichia clavaeformis,145331,GStraB,Bodo,None,None,None,None,None,None,None
Anisolpidium ectocarpii,177852,GStraB,Bodo,None,None,None,None,None,None,None
Hiatella arctica,140103,GStraB,Bodo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Lineus longissimus,122528,GStraB,Bodo,None,None,None,None,None,None,None
Corallina officinalis,145108,GStraB,Bodo,None,None,None,None,None,None, epilithic; epizoic; epiphytic
Lepidonotus squamatus,130801,GStraB,Bodo,None,None,None,None,None, indifferent to disturbance,None
Psamathe fusca,152249,GStraB,Bodo,None,None,None,None,None, indifferent to disturbance,None
Scorpaena notata,127246,GStraB,Bodo, FAO-ASFIS; IUCN Red List, Least Concern,None,2014,None,None,None
Phymatolithon rugulosum,157333,GStraB,Bodo,None,None,None,None,None,None,None
Kurtiella bidentata,345281,GStraB,Bodo,None,None,None,None,None, tolerant to disturbance,None
Chorda filum,145722,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic; epizoic
Eualus pusiolus,107507,GStraB,Bodo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Chloroparvula pacifica,1361158,GStraB,Bodo,None,None,None,None,None,None,None
Nereimyra punctata,130185,GStraB,Bodo,None,None,None,None,None, tolerant to disturbance,None
Clitellio (Clitellio) arenarius,137553,GStraB,Bodo,None,None,None,None,None, first-order opportunistic,None
Phymatolithon lenormandii,145202,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None,None
Pusillina inconspicua,141334,GStraB,Bodo,None,None,None,None,None, very sensitive to disturbance,None
Lithothamnion glaciale,145170,GStraB,Bodo, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Aurelia aurita,135306,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None,None
Cephalothrix rufifrons,122599,GStraB,Bodo,None,None,None,None,None,None,None
Hydroides norvegica,131009,GStraB,Bodo,None,None,None,None,None, tolerant to disturbance,None
Cirratulus cirratus,129959,GStraB,Bodo,None,None,None,None,None, second-order opportunistic,None
Plagiogramma acutum,1465547,GStraB,Bodo,None,None,None,None,None,None,None
Squamamoeba japonica,761218,GStraB,Bodo,None,None,None,None,None,None,None
Myrionema balticum,144976,GStraB,Bodo,None,None,None,None,None,None,None
Dictyosiphon ekmanii,145321,GStraB,Bodo,None,None,None,None,None,None,None
Tritia incrassata,876825,GStraB,Bodo, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Amastigomonas debruynei,103429,GStraB,Bodo,None,None,None,None,None,None,None
Velutina velutina,141905,GStraB,Bodo,None,None,None,None,None, tolerant to disturbance,None
Scytosiphon promiscuus,1356524,GStraB,Bodo,None,None,None,None,None,None,None
Ectocarpus siliculosus,145410,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic; epizoic; unattached; epiphytic
Clytia hemisphaerica,117368,GStraB,Bodo,None,None,None,None,None, very sensitive to disturbance,None
Myrianida prolifera,238200,GStraB,Bodo,None,None,None,None,None, indifferent to disturbance,None
Eulalia viridis,130639,GStraB,Bodo,None,None,None,None,None, indifferent to disturbance,None
Pycnococcus provasolii,376073,GStraB,Bodo,None,None,None,None,None,None,None
Hecatonema terminale,145341,GStraB,Bodo,None,None,None,None,None,None,None
Pylaiella washingtoniensis,373984,GStraB,Bodo,None,None,None,None,None,None,None
Testudinalia testudinalis,234208,GStraB,Bodo,None,None,None,None,None, very sensitive to disturbance,None
Dinophilus vorticoides,130002,GStraB,Bodo,None,None,None,None,None,None,None
Steromphala cineraria,1039839,GStraB,Bodo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Eurychasma dicksonii,172155,GStraB,Bodo,None,None,None,None,None,None,None
Ophelina acuminata,130500,GStraB,Bodo,None,None,None,None,None, very sensitive to disturbance; tolerant to disturbance,None
Wildemania amplissima,501881,GStraB,Bodo,None,None,None,None,None,None,None
Halidrys siliquosa,145540,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic
Haliclystus auricula,135322,GStraB,Bodo,None,None,None,None,None,None,None
Harmothoe impar,130770,GStraB,Bodo,None,None,None,None,None, indifferent to disturbance,None
Myrionema strangulans,144985,GStraB,Bodo,None,None,None,None,None,None,None
Fucus serratus,145546,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic
Bonnemaisonia hamifera,144442,GStraB,Bodo, MSFD indicators,None,None,None,None,None, epilithic; epiphytic; epizoic
Laminaria digitata,145724,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic; epiphytic
Balanus balanus,106213,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None,None
Hecatonema terminale,145341,GStraB,Bodo,None,None,None,None,None,None,None
Rhodothamniella floridula,145777,GStraB,Bodo,None,None,None,None,None,None, epilithic
Boreophyllum birdiae,626025,GStraB,Bodo,None,None,None,None,None,None,None
Hapterophycus canaliculatus,496081,GStraB,Bodo,None,None,None,None,None,None,None
Mytilus edulis,140480,GStraB,Bodo, FAO-ASFIS; MSFD indicators,None,None,None,None, tolerant to disturbance,None
Pylaiella littoralis,157188,GStraB,Bodo,None,None,None,None,None,None, epilithic; epizoic; unattached; epiphytic
Scytosiphon lomentaria,145869,GStraB,Bodo,None,None,None,None,None,None,None
Balanus rostratus,254482,GStraB,Bodo,None,None,None,None,None,None,None
Pomatoschistus flavescens,1526389,GStraB,Bodo, FAO-ASFIS; IUCN Red List, Least Concern,None,2014,None,None,None
Ascocyclus orbicularis,144971,GStraB,Bodo,None,None,None,None,None,None,None
Acrothrix gracilis,144908,GStraB,Bodo,None,None,None,None,None,None, epilithic; epiphytic
Halichondria (Halichondria) panicea,165853,GStraB,Bodo,None,None,None,None,None, very sensitive to disturbance,None
Ascophyllum nodosum,145541,GStraB,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic
Pholoe inornata,130601,GStraB,Bodo,None,None,None,None,None, indifferent to disturbance,None
Verruca stroemia,106257,GStraB,Bodo,None,None,None,None,None, very sensitive to disturbance,None
Ministeria vibrans,118061,GStraB,Bodo,None,None,None,None,None,None,None
Dictyosiphon foeniculaceus,145322,GStraB,Bodo,None,None,None,None,None,None, epilithic; epiphytic; unattached
Ectocarpus fasciculatus,145404,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None,None
Trebouxia aggregata,615536,GStraM,Bodo,None,None,None,None,None,None,None
Halisarca dujardinii,132736,GStraM,Bodo,None,None,None,None,None,None,None
Myriotrichia clavaeformis,145331,GStraM,Bodo,None,None,None,None,None,None,None
Acrothrix gracilis,144908,GStraM,Bodo,None,None,None,None,None,None, epilithic; epiphytic
Myrionema strangulans,144985,GStraM,Bodo,None,None,None,None,None,None,None
Steromphala cineraria,1039839,GStraM,Bodo, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Rhodomela confervoides,144854,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None,None
Phymatolithon lenormandii,145202,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None,None
Polycirrus medusa,131531,GStraM,Bodo,None,None,None,None,None, second-order opportunistic,None
Asterias rubens,123776,GStraM,Bodo, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Corallina officinalis,145108,GStraM,Bodo,None,None,None,None,None,None, epilithic; epizoic; epiphytic
Aktedrilus arcticus,137502,GStraM,Bodo,None,None,None,None,None,None,None
Priapulus caudatus,101160,GStraM,Bodo,None,None,None,None,None, tolerant to disturbance,None
Eulalia viridis,130639,GStraM,Bodo,None,None,None,None,None, indifferent to disturbance,None
Leptosiphonia fibrillosa,1339221,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic; epizoic; unattached; epiphytic
Ascophyllum nodosum,145541,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic
Verruca stroemia,106257,GStraM,Bodo,None,None,None,None,None, very sensitive to disturbance,None
Harmothoe imbricata,130769,GStraM,Bodo,None,None,None,None,None, indifferent to disturbance,None
Fucus serratus,145546,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic
Tritia incrassata,876825,GStraM,Bodo, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Lithothamnion glaciale,145170,GStraM,Bodo, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Laminaria hyperborea,145725,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic; epiphytic
Polysiphonia stricta,144672,GStraM,Bodo,None,None,None,None,None,None, epilithic; epiphytic; epizoic
Halidrys siliquosa,145540,GStraM,Bodo, FAO-ASFIS,None,None,None,None,None, epilithic
Alvania punctura,141230,GStraM,Bodo,None,None,None,None,None, very sensitive to disturbance,None
Eudesme borealis,1535277,GStraM,Bodo,None,None,None,None,None,None,None
Trinchesia foliata,1037415,GStraM,Bodo,None,None,None,None,None,None,None
Kurtiella bidentata,345281,GStraM,Bodo,None,None,None,None,None, tolerant to disturbance,None
Celleporella hyalina,111397,GStraM,Bodo,None,None,None,None,None, indifferent to disturbance,None
