Sample	Sequenced	Observatory	ARMS	Deployment	Retrieval	Fraction	Fraction_Group	Fraction_Exact	Preservative	Lab_Replicate	Habitat
ARMS_Svalbard_S2_20190805_20200801_SF40	Apr-21	Svalbard	S2	20190805	20200801	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_TZS_Angbat_20180711_20181106_MF100_ETOH	May-21	TZS	Angbat	20180711	20181106	Motile	MF100	MF100	ETOH		protected
ARMS_TZS_Angbat_20180711_20181106_MF500_ETOH	Jul-19	TZS	Angbat	20180711	20181106	Motile	MF500	MF500	ETOH		protected
ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH	May-21	TZS	Angbat	20180711	20181106	Sessile	SF40	SF48	ETOH		protected
ARMS_TZS_Spikarna_20180711_20181107_MF100_ETOH	May-21	TZS	Spikarna	20180711	20181107	Motile	MF100	MF100	ETOH		protected
ARMS_TZS_Spikarna_20180711_20181107_MF500_ETOH	Jul-19	TZS	Spikarna	20180711	20181107	Motile	MF500	MF500	ETOH		protected
ARMS_TZS_Spikarna_20180711_20181107_SF48_ETOH	May-21	TZS	Spikarna	20180711	20181107	Sessile	SF40	SF48	ETOH		protected
ARMS_Vigo_TorallaA_20180607_20180924_MF100_ETOH	May-21	Vigo	TorallaA	20180607	20180924	Motile	MF100	MF100	ETOH		industrial
ARMS_Vigo_TorallaA_20180607_20180924_MF500_ETOH	May-21	Vigo	TorallaA	20180607	20180924	Motile	MF500	MF500	ETOH		industrial
ARMS_Vigo_TorallaA_20180607_20180924_SF40_ETOH	Jul-19	Vigo	TorallaA	20180607	20180924	Sessile	SF40	SF40	ETOH		industrial
ARMS_Vigo_TorallaA_20190625_20191014_MF100	Jan-20	Vigo	TorallaA	20190625	20191014	Motile	MF100	MF100	DMSO		industrial
ARMS_Vigo_TorallaA_20190625_20191014_MF500	Jan-20	Vigo	TorallaA	20190625	20191014	Motile	MF500	MF500	DMSO		industrial
ARMS_Vigo_TorallaA_20190625_20191014_MF500_rep	Jan-20	Vigo	TorallaA	20190625	20191014	Motile	MF500	MF500	DMSO		industrial
ARMS_Vigo_TorallaA_20190625_20191014_SF40	Apr-21	Vigo	TorallaA	20190625	20191014	Sessile	SF40	SF40	DMSO		industrial
ARMS_Vigo_TorallaB_20190625_20191014_MF100	Jan-20	Vigo	TorallaB	20190625	20191014	Motile	MF100	MF100	DMSO		industrial
ARMS_Vigo_TorallaB_20190625_20191014_MF500	Jan-20	Vigo	TorallaB	20190625	20191014	Motile	MF500	MF500	DMSO		industrial
ARMS_Vigo_TorallaB_20190625_20191014_MF500_rep	Jan-20	Vigo	TorallaB	20190625	20191014	Motile	MF500	MF500	DMSO		industrial
ARMS_Vigo_TorallaB_20190625_20191014_SF40	May-21	Vigo	TorallaB	20190625	20191014	Sessile	SF40	SF40	DMSO		industrial
ARMS_Vigo_TorallaC_20190625_20191014_MF100	Jan-20	Vigo	TorallaC	20190625	20191014	Motile	MF100	MF100	DMSO		industrial
ARMS_Vigo_TorallaC_20190625_20191014_MF500	Jan-20	Vigo	TorallaC	20190625	20191014	Motile	MF500	MF500	DMSO		industrial
ARMS_Vigo_TorallaC_20190625_20191014_MF500_rep	Jan-20	Vigo	TorallaC	20190625	20191014	Motile	MF500	MF500	DMSO		industrial
ARMS_Vigo_TorallaC_20190625_20191014_SF40	Jan-22	Vigo	TorallaC	20190625	20191014	Sessile	SF40	SF40	DMSO		industrial
